Date,CalendarWeek,CalendarMonth,CalendarDayInMonth,CalendarYear
23/12/2020,52,12,23,2020
24/12/2020,52,12,24,2020
25/12/2020,52,12,25,2020
26/12/2020,52,12,26,2020
27/12/2020,52,12,27,2020
28/12/2020,53,12,28,2020
29/12/2020,53,12,29,2020
30/12/2020,53,12,30,2020
31/12/2020,53,12,31,2020
01/01/2021,53,1,1,2021
02/01/2021,53,1,2,2021
03/01/2021,53,1,3,2021
04/01/2021,1,1,4,2021
05/01/2021,1,1,5,2021
06/01/2021,1,1,6,2021
07/01/2021,1,1,7,2021
08/01/2021,1,1,8,2021
09/01/2021,1,1,9,2021
10/01/2021,1,1,10,2021
11/01/2021,2,1,11,2021
12/01/2021,2,1,12,2021
13/01/2021,2,1,13,2021
14/01/2021,2,1,14,2021
15/01/2021,2,1,15,2021
16/01/2021,2,1,16,2021
17/01/2021,2,1,17,2021
18/01/2021,3,1,18,2021
19/01/2021,3,1,19,2021
20/01/2021,3,1,20,2021
21/01/2021,3,1,21,2021
22/01/2021,3,1,22,2021
23/01/2021,3,1,23,2021
24/01/2021,3,1,24,2021
25/01/2021,4,1,25,2021
26/01/2021,4,1,26,2021
27/01/2021,4,1,27,2021
28/01/2021,4,1,28,2021
29/01/2021,4,1,29,2021
30/01/2021,4,1,30,2021
31/01/2021,4,1,31,2021
01/02/2021,5,2,1,2021
02/02/2021,5,2,2,2021
03/02/2021,5,2,3,2021
04/02/2021,5,2,4,2021
05/02/2021,5,2,5,2021
06/02/2021,5,2,6,2021
07/02/2021,5,2,7,2021
08/02/2021,6,2,8,2021
09/02/2021,6,2,9,2021
10/02/2021,6,2,10,2021
11/02/2021,6,2,11,2021
12/02/2021,6,2,12,2021
13/02/2021,6,2,13,2021
14/02/2021,6,2,14,2021
15/02/2021,7,2,15,2021
16/02/2021,7,2,16,2021
17/02/2021,7,2,17,2021
18/02/2021,7,2,18,2021
19/02/2021,7,2,19,2021
20/02/2021,7,2,20,2021
21/02/2021,7,2,21,2021
22/02/2021,8,2,22,2021
23/02/2021,8,2,23,2021
24/02/2021,8,2,24,2021
25/02/2021,8,2,25,2021
26/02/2021,8,2,26,2021
27/02/2021,8,2,27,2021
28/02/2021,8,2,28,2021
01/03/2021,9,3,1,2021
02/03/2021,9,3,2,2021
03/03/2021,9,3,3,2021
04/03/2021,9,3,4,2021
05/03/2021,9,3,5,2021
06/03/2021,9,3,6,2021
07/03/2021,9,3,7,2021
08/03/2021,10,3,8,2021
09/03/2021,10,3,9,2021
10/03/2021,10,3,10,2021
11/03/2021,10,3,11,2021
12/03/2021,10,3,12,2021
13/03/2021,10,3,13,2021
14/03/2021,10,3,14,2021
15/03/2021,11,3,15,2021
16/03/2021,11,3,16,2021
